Epoch,train_acc,train_loss,val_acc,test_acc
001,0.5101,0.6913,0.4853,0.4992
002,0.6804,0.6842,0.6996,0.6662
003,0.6621,0.6746,0.6777,0.6505
004,0.8013,0.6514,0.8223,0.8027
005,0.8352,0.5944,0.8571,0.8298
006,0.8837,0.4726,0.8993,0.8863
007,0.9249,0.3245,0.9249,0.9226
008,0.9322,0.2677,0.9469,0.9344
009,0.9359,0.2410,0.9469,0.9344
010,0.9359,0.2271,0.9451,0.9404
011,0.9441,0.2269,0.9469,0.9472
012,0.9460,0.2174,0.9505,0.9467
013,0.9405,0.2153,0.9469,0.9417
014,0.9432,0.2097,0.9505,0.9490
015,0.9377,0.2045,0.9469,0.9339
016,0.9441,0.2105,0.9505,0.9475
017,0.9505,0.1995,0.9524,0.9524
018,0.9414,0.1950,0.9469,0.9415
019,0.9423,0.1933,0.9487,0.9425
020,0.9524,0.1879,0.9542,0.9545
021,0.9524,0.1880,0.9505,0.9543
022,0.9496,0.1862,0.9524,0.9496
023,0.9496,0.1831,0.9524,0.9488
024,0.9524,0.1820,0.9524,0.9543
025,0.9496,0.1807,0.9524,0.9503
026,0.9478,0.1787,0.9524,0.9449
027,0.9432,0.1765,0.9469,0.9404
028,0.9496,0.1831,0.9524,0.9514
029,0.9533,0.1722,0.9505,0.9550
030,0.9515,0.1679,0.9524,0.9488
031,0.9524,0.1721,0.9524,0.9477
032,0.9496,0.1694,0.9524,0.9480
033,0.9542,0.1673,0.9524,0.9550
034,0.9551,0.1623,0.9505,0.9545
035,0.9551,0.1719,0.9505,0.9558
036,0.9487,0.1660,0.9469,0.9394
037,0.9505,0.1689,0.9524,0.9498
038,0.9542,0.1605,0.9505,0.9514
039,0.9551,0.1593,0.9524,0.9550
040,0.9542,0.1607,0.9524,0.9537
041,0.9560,0.1546,0.9524,0.9527
042,0.9542,0.1534,0.9524,0.9545
043,0.9542,0.1649,0.9487,0.9485
044,0.9469,0.1709,0.9469,0.9394
045,0.9551,0.1588,0.9524,0.9545
046,0.9579,0.1510,0.9505,0.9574
047,0.9542,0.1515,0.9524,0.9519
048,0.9570,0.1542,0.9524,0.9569
049,0.9570,0.1493,0.9505,0.9579
050,0.9551,0.1487,0.9505,0.9498
051,0.9588,0.1495,0.9487,0.9537
052,0.9570,0.1467,0.9505,0.9530
053,0.9579,0.1452,0.9505,0.9579
054,0.9570,0.1492,0.9505,0.9543
055,0.9560,0.1433,0.9524,0.9540
056,0.9579,0.1421,0.9524,0.9571
057,0.9579,0.1442,0.9505,0.9558
058,0.9579,0.1403,0.9505,0.9577
059,0.9579,0.1405,0.9505,0.9571
060,0.9579,0.1402,0.9505,0.9558
061,0.9579,0.1385,0.9524,0.9571
062,0.9570,0.1418,0.9542,0.9571
063,0.9560,0.1446,0.9560,0.9569
064,0.9560,0.1534,0.9524,0.9564
065,0.9570,0.1587,0.9487,0.9530
066,0.9579,0.1383,0.9505,0.9543
067,0.9570,0.1388,0.9542,0.9569
068,0.9579,0.1387,0.9524,0.9571
069,0.9570,0.1394,0.9487,0.9522
070,0.9606,0.1370,0.9505,0.9584
071,0.9570,0.1347,0.9524,0.9569
072,0.9579,0.1391,0.9505,0.9571
073,0.9579,0.1355,0.9487,0.9522
074,0.9588,0.1351,0.9524,0.9579
075,0.9579,0.1391,0.9524,0.9569
076,0.9615,0.1340,0.9487,0.9561
077,0.9588,0.1375,0.9487,0.9553
078,0.9551,0.1362,0.9505,0.9493
079,0.9597,0.1350,0.9505,0.9577
080,0.9588,0.1336,0.9524,0.9577
081,0.9588,0.1313,0.9487,0.9579
082,0.9579,0.1322,0.9524,0.9571
083,0.9579,0.1347,0.9524,0.9577
084,0.9588,0.1314,0.9505,0.9577
085,0.9579,0.1297,0.9505,0.9577
086,0.9588,0.1347,0.9524,0.9574
087,0.9570,0.1303,0.9451,0.9451
088,0.9615,0.1343,0.9505,0.9574
089,0.9625,0.1288,0.9524,0.9556
090,0.9597,0.1295,0.9505,0.9574
091,0.9615,0.1261,0.9487,0.9592
092,0.9625,0.1245,0.9505,0.9577
093,0.9597,0.1253,0.9505,0.9584
094,0.9634,0.1252,0.9487,0.9579
095,0.9579,0.1258,0.9505,0.9501
096,0.9588,0.1396,0.9505,0.9582
097,0.9560,0.1310,0.9560,0.9556
098,0.9597,0.1355,0.9505,0.9574
099,0.9606,0.1250,0.9524,0.9548
100,0.9606,0.1284,0.9487,0.9553
101,0.9597,0.1261,0.9505,0.9577
102,0.9588,0.1249,0.9560,0.9574
103,0.9588,0.1278,0.9505,0.9574
104,0.9597,0.1265,0.9505,0.9579
105,0.9597,0.1232,0.9524,0.9577
106,0.9588,0.1233,0.9524,0.9584
107,0.9625,0.1210,0.9524,0.9569
108,0.9597,0.1207,0.9505,0.9577
109,0.9588,0.1230,0.9579,0.9574
110,0.9615,0.1280,0.9505,0.9587
111,0.9634,0.1205,0.9487,0.9584
112,0.9634,0.1202,0.9487,0.9582
113,0.9597,0.1219,0.9505,0.9582
114,0.9597,0.1224,0.9524,0.9577
115,0.9597,0.1209,0.9542,0.9584
116,0.9588,0.1228,0.9505,0.9577
117,0.9634,0.1221,0.9505,0.9597
118,0.9625,0.1206,0.9524,0.9550
119,0.9634,0.1210,0.9524,0.9556
120,0.9634,0.1209,0.9505,0.9569
121,0.9634,0.1206,0.9487,0.9590
122,0.9588,0.1211,0.9505,0.9587
123,0.9597,0.1196,0.9542,0.9579
124,0.9634,0.1189,0.9487,0.9595
125,0.9588,0.1179,0.9524,0.9584
126,0.9597,0.1185,0.9524,0.9587
127,0.9597,0.1146,0.9505,0.9597
128,0.9625,0.1176,0.9505,0.9597
129,0.9625,0.1171,0.9505,0.9592
130,0.9634,0.1185,0.9487,0.9553
131,0.9643,0.1167,0.9505,0.9579
132,0.9643,0.1158,0.9524,0.9569
133,0.9606,0.1205,0.9505,0.9595
134,0.9606,0.1164,0.9505,0.9595
135,0.9615,0.1137,0.9524,0.9584
136,0.9625,0.1177,0.9505,0.9595
137,0.9643,0.1158,0.9524,0.9597
138,0.9643,0.1136,0.9505,0.9579
139,0.9634,0.1182,0.9487,0.9564
140,0.9606,0.1242,0.9524,0.9587
141,0.9588,0.1196,0.9524,0.9584
142,0.9606,0.1155,0.9524,0.9590
143,0.9597,0.1128,0.9505,0.9595
144,0.9606,0.1150,0.9579,0.9574
145,0.9625,0.1198,0.9505,0.9590
146,0.9643,0.1122,0.9505,0.9574
147,0.9606,0.1121,0.9524,0.9597
148,0.9625,0.1138,0.9505,0.9597
149,0.9625,0.1195,0.9505,0.9600
150,0.9643,0.1114,0.9505,0.9582
151,0.9606,0.1141,0.9542,0.9584
152,0.9597,0.1162,0.9542,0.9587
153,0.9634,0.1134,0.9524,0.9603
154,0.9634,0.1108,0.9505,0.9595
155,0.9643,0.1150,0.9505,0.9566
156,0.9643,0.1132,0.9505,0.9566
157,0.9625,0.1139,0.9524,0.9597
158,0.9597,0.1119,0.9524,0.9584
159,0.9643,0.1104,0.9505,0.9597
160,0.9606,0.1117,0.9560,0.9592
161,0.9606,0.1135,0.9542,0.9582
162,0.9615,0.1133,0.9524,0.9595
163,0.9634,0.1115,0.9505,0.9597
164,0.9643,0.1124,0.9505,0.9566
165,0.9643,0.1169,0.9487,0.9564
166,0.9643,0.1142,0.9487,0.9553
167,0.9643,0.1190,0.9469,0.9548
168,0.9615,0.1192,0.9560,0.9579
169,0.9606,0.1204,0.9542,0.9584
170,0.9643,0.1113,0.9487,0.9592
171,0.9606,0.1089,0.9542,0.9592
172,0.9643,0.1118,0.9487,0.9561
173,0.9634,0.1112,0.9505,0.9597
174,0.9634,0.1104,0.9505,0.9603
175,0.9643,0.1096,0.9469,0.9558
176,0.9606,0.1112,0.9542,0.9587
177,0.9643,0.1097,0.9524,0.9600
178,0.9652,0.1102,0.9487,0.9561
179,0.9643,0.1124,0.9505,0.9582
180,0.9606,0.1099,0.9542,0.9587
181,0.9597,0.1148,0.9560,0.9579
182,0.9643,0.1134,0.9451,0.9532
183,0.9643,0.1127,0.9505,0.9587
184,0.9625,0.1193,0.9542,0.9597
185,0.9615,0.1150,0.9560,0.9579
186,0.9643,0.1182,0.9505,0.9603
187,0.9625,0.1125,0.9487,0.9566
188,0.9643,0.1089,0.9524,0.9603
189,0.9634,0.1103,0.9505,0.9608
190,0.9643,0.1098,0.9505,0.9600
191,0.9606,0.1097,0.9542,0.9587
192,0.9643,0.1086,0.9505,0.9600
193,0.9643,0.1092,0.9505,0.9595
194,0.9652,0.1100,0.9505,0.9571
195,0.9643,0.1080,0.9524,0.9605
196,0.9625,0.1096,0.9542,0.9590
197,0.9643,0.1079,0.9505,0.9603
198,0.9652,0.1098,0.9451,0.9527
199,0.9643,0.1194,0.9487,0.9597
200,0.9597,0.1127,0.9542,0.9587
