train_loss,val_loss,val_acc,val_f1
0.708470227,0.692027926,48.5347985,0
0.699172483,0.692963728,48.5347985,0
0.692151927,0.686905822,51.4652015,67.9564692
0.686453502,0.688929715,48.5347985,0
0.684500791,0.682269987,91.025641,91.7922948
0.681716269,0.679641066,77.2893773,71.8181818
0.677482047,0.676629364,53.1135531,16.3398693
0.673240819,0.6726682,51.2820513,10.1351351
0.669500639,0.660561528,94.5054945,94.5454545
0.654449686,0.6459286,93.5897436,93.5064935
0.638913689,0.618956863,95.970696,96.1130742
0.603319799,0.618451847,50.3663004,6.87285223
0.554822791,0.516521049,87.7289377,86.8369352
0.459530826,0.391569931,96.7032967,96.797153
0.328088132,0.2670479,93.956044,93.9449541
0.218885628,0.232013738,93.040293,92.962963
0.178029223,0.179967511,96.3369963,96.4412811
0.148964931,0.217229242,92.8571429,92.7643785
0.153131622,0.167523911,96.8864469,96.9911504
0.149291915,0.154502195,95.970696,96.0573477
0.166028347,0.227373428,92.4908425,92.3649907
0.15117484,0.170404374,95.0549451,95.0998185
0.137511211,0.158592922,95.2380952,95.3068592
0.126029302,0.162273645,95.0549451,95.1175407
0.156634588,0.147263552,96.8864469,96.9911504
0.131777168,0.1455229,96.5201465,96.625222
0.121580605,0.144468928,96.1538462,96.2432916
0.122916075,0.142406759,96.5201465,96.6131907
0.121365014,0.160128055,96.8864469,97.0017637
0.126452622,0.159672848,96.8864469,97.0017637
0.120364668,0.144606515,96.8864469,96.9911504
0.123822102,0.138876776,96.8864469,96.9804618
0.120228701,0.139274449,96.8864469,96.9911504
0.118738184,0.140223677,96.8864469,96.9911504
0.136358748,0.146477477,96.8864469,96.9911504
0.128146698,0.1385413,96.8864469,96.9911504
0.120055544,0.13895473,96.1538462,96.2432916
0.11440708,0.136784407,96.8864469,96.9911504
0.122607745,0.152699173,95.0549451,95.0998185
0.137381976,0.136588795,95.970696,96.0573477
0.117961376,0.134384723,96.1538462,96.2432916
0.114122738,0.135435651,96.8864469,96.9911504
0.11541548,0.137245746,96.8864469,96.9911504
0.11304763,0.13254068,97.0695971,97.1631206
0.110997024,0.152925109,96.8864469,97.0017637
0.126715965,0.14422339,95.4212454,95.4792043
0.115411321,0.133870574,96.8864469,96.9911504
0.113522292,0.12932129,97.0695971,97.1631206
0.108308565,0.152533603,96.8864469,97.0017637
0.111568134,0.128185513,97.0695971,97.1631206
0.108472859,0.129148541,96.5201465,96.6131907
0.107628857,0.127736719,96.5201465,96.6131907
0.110997883,0.127147762,96.7032967,96.797153
0.106228363,0.13792699,95.6043956,95.66787
0.121030482,0.128938041,97.0695971,97.1631206
0.106225283,0.128639833,97.0695971,97.1631206
0.109270819,0.15023887,96.8864469,97.0017637
0.112368417,0.12589615,97.0695971,97.1631206
0.110754505,0.125802957,96.7032967,96.797153
0.109604827,0.126846653,97.0695971,97.1631206
0.10420001,0.127124867,97.0695971,97.1631206
0.108498301,0.124757954,96.5201465,96.6131907
0.126557734,0.189979682,93.5897436,93.5304991
0.137279086,0.127408074,96.8864469,96.9911504
0.142506642,0.169901579,96.1538462,96.3222417
0.123129175,0.132426845,96.8864469,96.9911504
0.109654649,0.123177411,97.0695971,97.1631206
0.10508028,0.130270505,95.6043956,95.6834532
0.103896853,0.124538059,96.5201465,96.6131907
0.100160381,0.156937091,95.0549451,95.0998185
0.112648897,0.135407984,95.4212454,95.4792043
0.104903513,0.122770402,96.5201465,96.6131907
0.106543553,0.128093894,95.6043956,95.6834532
0.111439348,0.122424353,97.0695971,97.1631206
0.108849271,0.125187322,97.0695971,97.1631206
0.103388622,0.12317609,96.5201465,96.6131907
0.101601465,0.121835873,96.5201465,96.6131907
0.109684531,0.124620611,97.0695971,97.1631206
0.10747625,0.156458432,96.5201465,96.6608084
0.110910179,0.129318246,96.8864469,96.9911504
0.100325567,0.12795878,96.8864469,96.9911504
0.10418943,0.122671116,97.0695971,97.1631206
0.101042856,0.124344529,95.970696,96.0573477
0.09992821,0.125776462,95.6043956,95.6834532
0.101036811,0.121793619,97.0695971,97.1631206
0.101189509,0.121886598,97.0695971,97.1631206
0.102098928,0.129685441,96.8864469,96.9911504
0.102285993,0.127353929,96.8864469,96.9911504
0.10261869,0.126419707,95.4212454,95.4954955
0.104392963,0.122995291,97.0695971,97.1631206
0.105958884,0.151946358,96.5201465,96.6725044
0.116931665,0.121461732,96.3369963,96.4285714
0.107386135,0.136756396,95.4212454,95.4792043
0.101664357,0.119639768,96.7032967,96.797153
0.099189695,0.122778852,97.0695971,97.1631206
0.09849838,0.12307592,95.970696,96.0573477
0.09989271,0.129147606,96.8864469,96.9911504
0.097676703,0.118866743,96.8864469,96.9804618
0.103078988,0.121849241,95.970696,96.0573477
0.102813192,0.122256995,96.1538462,96.2432916
0.099846552,0.122824183,97.0695971,97.1631206
0.108627607,0.141114215,95.2380952,95.2898551
0.103463077,0.121680417,96.1538462,96.2432916
0.095665365,0.129151204,95.6043956,95.66787
0.096882768,0.122388124,97.0695971,97.1631206
0.103837902,0.130200188,96.8864469,96.9911504
0.105666726,0.127152876,95.6043956,95.66787
0.106560019,0.141214125,95.2380952,95.2898551
0.113977994,0.118393347,97.0695971,97.1631206
0.102566698,0.126076173,96.8864469,96.9911504
0.103239761,0.120603901,97.0695971,97.1631206
0.096561251,0.122311263,95.970696,96.0573477
0.100535473,0.119186805,96.5201465,96.6131907
0.09662106,0.130088906,96.8864469,96.9911504
0.107422962,0.130261796,95.4212454,95.4792043
0.114503082,0.16163451,94.5054945,94.5255474
0.10895016,0.125229755,96.8864469,96.9911504
0.104482436,0.120207853,97.0695971,97.1631206
0.100357882,0.120511568,96.3369963,96.4285714
0.104866627,0.119854539,96.5201465,96.6131907
0.096462004,0.118941426,96.5201465,96.6131907
0.097129374,0.119805282,96.3369963,96.4285714
0.09974836,0.161879198,94.6886447,94.6983547
0.107817154,0.117516071,97.0695971,97.1631206
0.1036711,0.123218821,97.0695971,97.1631206
0.09572968,0.119531883,97.0695971,97.1631206
0.100453559,0.118131615,96.5201465,96.6131907
0.095976691,0.120661776,96.1538462,96.2432916
0.095265478,0.128244817,95.4212454,95.4792043
0.106944295,0.118112277,96.7032967,96.797153
0.104479076,0.123923115,96.8864469,96.9911504
0.099434711,0.133539757,96.8864469,97.0017637
0.105140031,0.131923871,96.8864469,97.0017637
0.125237858,0.128807381,95.4212454,95.4792043
0.104130148,0.124211021,95.6043956,95.6834532
0.095708513,0.117576094,97.0695971,97.1631206
0.099368231,0.122106931,95.4212454,95.4954955
0.104351622,0.122639123,96.8864469,96.9911504
0.106883082,0.140338022,96.7032967,96.8309859
0.10576477,0.144368842,96.8864469,97.0123023
0.121868612,0.119350818,96.1538462,96.2432916
0.120292631,0.140473755,95.2380952,95.2898551
0.108997049,0.144153592,95.2380952,95.2898551
0.10556112,0.125114627,95.4212454,95.4954955
0.096436143,0.127787689,96.8864469,96.9911504
0.096410879,0.146035024,96.8864469,97.0123023
0.097495327,0.137038687,96.8864469,97.0017637
0.104148778,0.116974583,97.0695971,97.1631206
0.095938434,0.119515292,97.0695971,97.1631206
0.092867608,0.11836188,97.0695971,97.1631206
0.093315547,0.117172212,97.0695971,97.1631206
0.09322974,0.116900395,97.0695971,97.1631206
0.094983895,0.119716196,96.3369963,96.4285714
0.097460694,0.121130397,95.6043956,95.6834532
0.092290505,0.122678037,96.8864469,96.9911504
0.093457303,0.122939107,96.8864469,96.9911504
0.095568544,0.116795939,97.0695971,97.1631206
0.092375777,0.117703226,97.0695971,97.1631206
0.094210057,0.11661195,96.7032967,96.797153
0.095070184,0.118078509,97.0695971,97.1631206
0.092071471,0.11691893,96.8864469,96.9804618
0.096830161,0.117002417,96.7032967,96.797153
0.098787772,0.12540449,95.4212454,95.4792043
0.102288348,0.123508611,95.4212454,95.4954955
0.097817228,0.115868237,96.8864469,96.9804618
0.095576327,0.130358757,96.8864469,96.9911504
0.102464226,0.130728683,97.0695971,97.1731449
0.097183504,0.116194584,96.8864469,96.9804618
0.094952352,0.117037156,96.8864469,96.9804618
0.092238222,0.119690191,95.7875458,95.8707361
0.101578817,0.116780581,96.5201465,96.6131907
0.096433572,0.120279369,97.0695971,97.1631206
0.094058582,0.116537741,96.7032967,96.797153
0.090979399,0.122729107,97.0695971,97.1631206
0.094386493,0.121194255,95.4212454,95.4954955
0.094893517,0.116773702,96.8864469,96.9804618
0.102833656,0.174666082,95.4212454,95.6672444
0.126682248,0.135830282,95.2380952,95.2898551
0.113549922,0.160679015,94.6886447,94.6983547
0.104023117,0.134063061,95.4212454,95.4792043
0.09920593,0.11810871,96.5201465,96.6131907
0.090849164,0.123111535,95.4212454,95.4954955
0.096022377,0.126157993,95.4212454,95.4954955
0.0950024,0.115607631,96.7032967,96.797153
0.090820326,0.118327329,96.5201465,96.6131907
0.093928123,0.117981764,97.0695971,97.1631206
0.091243894,0.116623487,96.8864469,96.9804618
0.095664848,0.115579452,96.8864469,96.9804618
0.093895846,0.116757528,97.0695971,97.1631206
0.096002361,0.127290755,96.8864469,96.9911504
0.111723718,0.116781132,97.0695971,97.1631206
0.097255214,0.11690495,96.7032967,96.797153
0.097812604,0.127258064,95.4212454,95.4792043
0.109376401,0.155118926,94.8717949,94.8905109
0.099649549,0.12530669,96.8864469,96.9911504
0.101779104,0.147019918,96.3369963,96.5034965
0.0983673,0.116966498,97.0695971,97.1631206
0.102134289,0.122049965,95.4212454,95.4954955
0.095542607,0.119457844,96.1538462,96.2432916
0.094373606,0.115962145,96.8864469,96.9804618
0.091689067,0.135021741,96.8864469,97.0123023
0.106549827,0.160046277,95.7875458,96
0.104330601,0.117299947,97.0695971,97.1631206
0.091931283,0.129946038,96.8864469,97.0017637
0.096906686,0.116745301,96.5201465,96.6131907
0.097071959,0.121067699,95.970696,96.0573477
0.093887621,0.121475329,95.4212454,95.4954955
0.101547889,0.117802515,96.3369963,96.4285714
0.095705629,0.127313477,95.4212454,95.4792043
0.101063138,0.119797681,95.6043956,95.6834532
0.097870491,0.11552679,97.0695971,97.1631206
0.103073106,0.123399155,96.8864469,96.9911504
0.095649359,0.136127284,96.8864469,97.0123023
0.092849646,0.126134636,96.8864469,96.9911504
0.095205314,0.130263656,96.8864469,97.0017637
0.097765929,0.118278648,96.1538462,96.2432916
0.098278864,0.115647442,96.8864469,96.9804618
0.090224515,0.11922109,97.0695971,97.1631206
0.094111168,0.122654073,95.4212454,95.4954955
0.098825951,0.121358026,95.4212454,95.4954955
0.095124,0.117677182,96.7032967,96.797153
0.100535082,0.126390624,96.8864469,96.9911504
0.094694725,0.118646433,97.0695971,97.1631206
0.091202448,0.119066022,95.7875458,95.8707361
0.092054546,0.128997418,95.4212454,95.4792043
0.095593329,0.116748437,96.7032967,96.797153
0.091314978,0.118863104,96.3369963,96.4285714
0.096663035,0.115371083,96.8864469,96.9804618
0.103028567,0.167457116,95.6043956,95.8333333
0.129584703,0.118908769,96.5201465,96.6131907
0.119866782,0.120459759,96.5201465,96.6131907
0.100104326,0.117349687,96.5201465,96.6131907
0.092301226,0.115587776,96.8864469,96.9804618
0.092384743,0.120202253,95.970696,96.0573477
0.090096114,0.124380453,95.4212454,95.4954955
0.092584723,0.143242042,95.2380952,95.2898551
0.107813459,0.117038053,97.0695971,97.1631206
0.098203359,0.119200889,97.0695971,97.1631206
0.094600441,0.117586328,96.5201465,96.6131907
0.096356623,0.120295106,95.4212454,95.4954955
0.090465378,0.116742256,97.0695971,97.1631206
0.104321207,0.136461439,95.2380952,95.2898551
0.100592214,0.118191653,97.0695971,97.1631206
0.09682753,0.126486674,96.8864469,96.9911504
0.102403995,0.117258009,96.8864469,96.9804618
0.09764948,0.126611282,97.0695971,97.1731449
0.096946053,0.132460057,97.2527473,97.3544974
0.094989544,0.12347291,96.8864469,96.9911504
0.093100669,0.131778517,97.2527473,97.3544974
0.09376721,0.123718899,96.8864469,96.9911504
0.096725675,0.115933515,96.8864469,96.9804618
0.091352351,0.115489843,96.8864469,96.9804618
0.091449235,0.116774404,96.5201465,96.6131907
0.091003918,0.11578398,96.8864469,96.9804618
0.096486229,0.14600913,96.3369963,96.5034965
0.106256171,0.125622159,96.8864469,96.9911504
0.094197993,0.124197652,96.8864469,96.9911504
0.095263907,0.118533474,97.0695971,97.1631206
0.09061855,0.119868752,97.0695971,97.1631206
0.090914056,0.11775492,96.3369963,96.4285714
0.090448247,0.121111512,97.0695971,97.1631206
0.094519782,0.115167134,96.8864469,96.9804618
0.090533429,0.118010312,96.5201465,96.6131907
0.094698067,0.145883424,96.3369963,96.5034965
0.099198187,0.120072656,97.0695971,97.1631206
0.10186154,0.123295587,95.4212454,95.4954955
0.099992916,0.121627219,95.4212454,95.4954955
0.09630642,0.136179715,96.8864469,97.0123023
0.107581577,0.170965738,95.4212454,95.6672444
0.108764296,0.162289008,95.7875458,96
0.099262503,0.116717742,96.8864469,96.9804618
0.08906682,0.120246348,95.4212454,95.4954955
0.091464998,0.116969015,96.5201465,96.6131907
0.092112558,0.117041123,96.5201465,96.6131907
0.089988308,0.117090791,97.0695971,97.1631206
0.090719219,0.116810773,96.7032967,96.797153
0.096712067,0.1521739,96.3369963,96.5034965
0.106302069,0.115325803,96.8864469,96.9804618
0.097681909,0.120175035,95.4212454,95.4954955
0.091423627,0.116582985,96.8864469,96.9804618
0.090149332,0.115932369,96.7032967,96.797153
0.089672244,0.129368913,95.4212454,95.4792043
0.093968852,0.11522699,96.7032967,96.797153
0.092865541,0.114977404,96.8864469,96.9804618
0.090981009,0.123923935,95.4212454,95.4954955
0.097355572,0.119121725,97.0695971,97.1631206
0.091179755,0.134300746,96.8864469,97.0123023
0.102961416,0.143091408,96.5201465,96.6725044
0.105396925,0.124342014,96.8864469,96.9911504
0.096362156,0.116172235,96.8864469,96.9804618
0.089109991,0.116518344,96.8864469,96.9804618
0.092775817,0.11863922,96.3369963,96.4285714
0.090779549,0.117056705,97.0695971,97.1631206
0.090361441,0.128598696,95.2380952,95.3068592
0.096899205,0.129018817,95.4212454,95.4792043
0.094469678,0.115145044,96.8864469,96.9804618
0.097966442,0.125158451,96.8864469,96.9911504
0.095456524,0.131293156,96.8864469,96.9911504
0.098948973,0.123157904,96.8864469,96.9911504
0.098313624,0.128044917,95.4212454,95.4792043