Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
001,0.5806,0.7294,0.4194,0.4887,0.7374,0.7145
002,0.5806,0.6995,0.4194,0.4887,0.7455,0.8117
003,0.5806,0.6768,0.4194,0.4887,0.7080,0.7571
004,0.5806,0.6641,0.4194,0.4887,0.6898,0.7136
005,0.5806,0.6599,0.4194,0.4887,0.6845,0.6999
006,0.5806,0.6501,0.4194,0.4887,0.6853,0.7041
007,0.5806,0.6386,0.4194,0.4887,0.6829,0.7120
008,0.5806,0.6251,0.4194,0.4887,0.6695,0.7055
009,0.6452,0.6056,0.4839,0.5385,0.6506,0.6849
010,0.8065,0.5802,0.5484,0.6244,0.6334,0.6668
011,0.8065,0.5471,0.7419,0.6697,0.6084,0.6517
012,0.8871,0.5056,0.7419,0.7149,0.5884,0.6277
013,0.9516,0.4576,0.7742,0.7557,0.5443,0.5975
014,0.9839,0.4396,0.7419,0.7783,0.6273,0.5720
015,0.7097,0.5441,0.5161,0.6199,0.5261,0.7201
016,0.9032,0.3707,0.7419,0.7602,0.4971,0.5222
017,0.9677,0.3323,0.7742,0.8235,0.5198,0.5188
018,0.8871,0.3295,0.7419,0.7014,0.5038,0.5988
019,0.9839,0.2530,0.8065,0.8281,0.4622,0.4965
020,0.9839,0.2545,0.8065,0.8235,0.4770,0.4832
021,1.0000,0.2282,0.7742,0.7692,0.4670,0.5341
022,1.0000,0.1845,0.8065,0.8235,0.4432,0.4705
023,1.0000,0.1686,0.8065,0.8235,0.4658,0.4717
024,1.0000,0.1615,0.7742,0.8009,0.4396,0.4898
025,1.0000,0.1533,0.8065,0.8235,0.4629,0.4549
026,1.0000,0.1447,0.7742,0.7964,0.4381,0.4944
027,1.0000,0.1378,0.8387,0.8281,0.4671,0.4495
028,1.0000,0.1326,0.7742,0.7919,0.4391,0.4994
029,1.0000,0.1252,0.8387,0.8281,0.4642,0.4465
030,1.0000,0.1137,0.7742,0.7919,0.4446,0.5015
031,1.0000,0.0978,0.8387,0.8281,0.4502,0.4458
032,1.0000,0.0826,0.8387,0.8100,0.4533,0.4808
033,1.0000,0.0745,0.8710,0.8235,0.4448,0.4528
034,1.0000,0.0714,0.8387,0.8235,0.4574,0.4609
035,1.0000,0.0707,0.8387,0.8235,0.4441,0.4643
036,1.0000,0.0719,0.8710,0.8235,0.4669,0.4560
037,1.0000,0.0756,0.8387,0.8235,0.4398,0.4709
038,1.0000,0.0930,0.8710,0.8190,0.5404,0.4547
039,1.0000,0.1705,0.8387,0.8145,0.5253,0.4861
040,1.0000,0.5359,0.8065,0.8145,0.7689,0.4713
041,0.7097,0.8565,0.5484,0.6109,0.7441,1.3493
042,1.0000,0.0668,0.8387,0.8326,0.4875,0.4501
043,0.9355,0.2434,0.7419,0.7376,0.4867,0.5715
044,1.0000,0.1017,0.8387,0.8371,0.4640,0.4305
045,1.0000,0.0757,0.7742,0.7783,0.5693,0.5459
046,1.0000,0.1038,0.7742,0.7647,0.5314,0.5855
047,1.0000,0.0602,0.8387,0.8235,0.4556,0.4556
048,1.0000,0.0609,0.8387,0.8416,0.4456,0.4301
049,1.0000,0.0636,0.8387,0.8326,0.4513,0.4337
050,1.0000,0.0509,0.8387,0.8326,0.4815,0.4588
051,1.0000,0.0551,0.8065,0.8009,0.4880,0.4900
052,1.0000,0.0533,0.8387,0.8235,0.4627,0.4693
053,1.0000,0.0527,0.8710,0.8190,0.4506,0.4494
054,1.0000,0.0547,0.8710,0.8190,0.4545,0.4500
055,1.0000,0.0535,0.8387,0.8235,0.4654,0.4633
056,1.0000,0.0548,0.8387,0.8235,0.4633,0.4702
057,1.0000,0.0546,0.8710,0.8190,0.4541,0.4608
058,1.0000,0.0552,0.8710,0.8281,0.4529,0.4560
059,1.0000,0.0550,0.8710,0.8190,0.4579,0.4608
060,1.0000,0.0551,0.8387,0.8235,0.4589,0.4658
061,1.0000,0.0548,0.8710,0.8190,0.4554,0.4629
062,1.0000,0.0546,0.8710,0.8190,0.4551,0.4608
063,1.0000,0.0542,0.8710,0.8190,0.4578,0.4635
064,1.0000,0.0537,0.8710,0.8190,0.4581,0.4657
065,1.0000,0.0531,0.8710,0.8190,0.4571,0.4644
066,1.0000,0.0525,0.8710,0.8190,0.4584,0.4647
067,1.0000,0.0518,0.8710,0.8190,0.4592,0.4669
068,1.0000,0.0511,0.8710,0.8190,0.4593,0.4668
069,1.0000,0.0503,0.8710,0.8190,0.4608,0.4678
070,1.0000,0.0494,0.8710,0.8190,0.4613,0.4696
071,1.0000,0.0485,0.8710,0.8190,0.4621,0.4699
072,1.0000,0.0475,0.8710,0.8190,0.4633,0.4718
073,1.0000,0.0466,0.8710,0.8190,0.4640,0.4729
074,1.0000,0.0456,0.8710,0.8190,0.4649,0.4741
075,1.0000,0.0447,0.8710,0.8190,0.4656,0.4757
076,1.0000,0.0438,0.8710,0.8190,0.4671,0.4769
077,1.0000,0.0429,0.8710,0.8190,0.4670,0.4786
078,1.0000,0.0421,0.8710,0.8190,0.4705,0.4798
079,1.0000,0.0413,0.8710,0.8190,0.4650,0.4814
080,1.0000,0.0412,0.8710,0.8190,0.4832,0.4824
081,1.0000,0.0429,0.8710,0.8190,0.4577,0.4901
082,1.0000,0.0500,0.8710,0.8371,0.4998,0.4723
083,1.0000,0.0577,0.8387,0.8145,0.4599,0.5172
084,1.0000,0.0627,0.8710,0.8281,0.4908,0.4665
085,1.0000,0.0549,0.7742,0.8009,0.4765,0.5374
086,1.0000,0.0399,0.8710,0.8326,0.4608,0.4666
087,1.0000,0.0349,0.8710,0.8190,0.4921,0.4836
088,1.0000,0.0381,0.8387,0.8190,0.4735,0.5021
089,1.0000,0.0363,0.8710,0.8326,0.4684,0.4711
090,1.0000,0.0345,0.8710,0.8190,0.4840,0.4872
091,1.0000,0.0359,0.8710,0.8190,0.4704,0.4898
092,1.0000,0.0367,0.8710,0.8235,0.4737,0.4764
093,1.0000,0.0363,0.8710,0.8190,0.4759,0.4909
094,1.0000,0.0364,0.8710,0.8235,0.4698,0.4828
095,1.0000,0.0369,0.8710,0.8235,0.4754,0.4838
096,1.0000,0.0372,0.8710,0.8190,0.4697,0.4884
097,1.0000,0.0374,0.8710,0.8281,0.4747,0.4824
098,1.0000,0.0373,0.8710,0.8190,0.4693,0.4902
099,1.0000,0.0374,0.8710,0.8281,0.4763,0.4830
100,1.0000,0.0373,0.8710,0.8190,0.4681,0.4918
101,1.0000,0.0376,0.8710,0.8235,0.4812,0.4829
102,1.0000,0.0381,0.8710,0.8190,0.4649,0.4954
103,1.0000,0.0401,0.8710,0.8235,0.4957,0.4813
104,1.0000,0.0447,0.8387,0.8190,0.4599,0.5024
105,1.0000,0.0611,0.8710,0.8326,0.5807,0.4788
106,1.0000,0.1329,0.8710,0.8235,0.6840,0.4878
107,1.0000,0.9018,0.8710,0.8281,1.7875,0.4852
108,0.5806,2.3967,0.4194,0.5023,2.0656,3.2879
109,0.6290,1.1007,0.4516,0.5747,0.7586,1.3880
110,1.0000,0.2664,0.7742,0.7964,0.4890,0.5323
111,0.8871,0.3496,0.7097,0.7149,0.5377,0.5350
112,0.8387,0.4120,0.6774,0.6833,0.5249,0.5508
113,0.9516,0.3313,0.7742,0.7964,0.4654,0.5020
114,1.0000,0.1864,0.7742,0.7692,0.5537,0.5519
115,1.0000,0.1487,0.7742,0.7964,0.4618,0.5020
116,0.9839,0.1512,0.7742,0.8190,0.4526,0.4607
117,1.0000,0.0861,0.8387,0.8281,0.5035,0.4652
118,1.0000,0.0764,0.7742,0.7919,0.5269,0.5329
119,1.0000,0.0584,0.8387,0.8145,0.4928,0.4884
120,1.0000,0.0560,0.8065,0.8145,0.4868,0.4661
121,1.0000,0.0507,0.8387,0.8235,0.5028,0.4785
122,1.0000,0.0490,0.8387,0.8100,0.5085,0.5037
123,1.0000,0.0472,0.8387,0.8145,0.4895,0.4862
124,1.0000,0.0465,0.8387,0.8235,0.4805,0.4673
125,1.0000,0.0461,0.8387,0.8235,0.4843,0.4676
126,1.0000,0.0456,0.8387,0.8235,0.4869,0.4756
127,1.0000,0.0454,0.8387,0.8281,0.4795,0.4716
128,1.0000,0.0451,0.8387,0.8235,0.4740,0.4633
129,1.0000,0.0449,0.8387,0.8235,0.4753,0.4638
130,1.0000,0.0445,0.8387,0.8281,0.4760,0.4684
131,1.0000,0.0442,0.8387,0.8281,0.4729,0.4672
132,1.0000,0.0441,0.8387,0.8281,0.4717,0.4645
133,1.0000,0.0439,0.8387,0.8281,0.4728,0.4657
134,1.0000,0.0437,0.8387,0.8281,0.4719,0.4660
135,1.0000,0.0435,0.8710,0.8235,0.4709,0.4640
136,1.0000,0.0433,0.8710,0.8235,0.4716,0.4642
137,1.0000,0.0430,0.8710,0.8190,0.4714,0.4652
138,1.0000,0.0427,0.8710,0.8190,0.4711,0.4645
139,1.0000,0.0423,0.8710,0.8190,0.4715,0.4650
140,1.0000,0.0419,0.8710,0.8190,0.4713,0.4654
141,1.0000,0.0415,0.8710,0.8190,0.4717,0.4652
142,1.0000,0.0411,0.8710,0.8190,0.4715,0.4658
143,1.0000,0.0407,0.8710,0.8190,0.4723,0.4656
144,1.0000,0.0403,0.8710,0.8190,0.4716,0.4664
145,1.0000,0.0399,0.8710,0.8190,0.4734,0.4660
146,1.0000,0.0395,0.8710,0.8190,0.4709,0.4672
147,1.0000,0.0393,0.8710,0.8190,0.4762,0.4657
148,1.0000,0.0391,0.8710,0.8190,0.4691,0.4692
149,1.0000,0.0393,0.8710,0.8326,0.4778,0.4622
150,1.0000,0.0391,0.8710,0.8190,0.4718,0.4748
151,1.0000,0.0386,0.8710,0.8326,0.4728,0.4607
152,1.0000,0.0376,0.8710,0.8190,0.4767,0.4716
153,1.0000,0.0373,0.8710,0.8190,0.4716,0.4674
154,1.0000,0.0372,0.8710,0.8235,0.4770,0.4661
155,1.0000,0.0369,0.8710,0.8190,0.4733,0.4723
156,1.0000,0.0367,0.8710,0.8281,0.4761,0.4656
157,1.0000,0.0363,0.8710,0.8190,0.4749,0.4723
158,1.0000,0.0361,0.8710,0.8281,0.4755,0.4671
159,1.0000,0.0358,0.8710,0.8190,0.4757,0.4708
160,1.0000,0.0356,0.8710,0.8235,0.4760,0.4690
161,1.0000,0.0354,0.8710,0.8190,0.4759,0.4705
162,1.0000,0.0352,0.8710,0.8235,0.4765,0.4699
163,1.0000,0.0351,0.8710,0.8190,0.4757,0.4707
164,1.0000,0.0349,0.8710,0.8235,0.4779,0.4703
165,1.0000,0.0348,0.8710,0.8190,0.4744,0.4716
166,1.0000,0.0348,0.8710,0.8281,0.4811,0.4698
167,1.0000,0.0349,0.8710,0.8190,0.4706,0.4735
168,1.0000,0.0360,0.8710,0.8281,0.4889,0.4666
169,1.0000,0.0375,0.8710,0.8190,0.4677,0.4817
170,1.0000,0.0405,0.8710,0.8326,0.4900,0.4583
171,1.0000,0.0403,0.8387,0.8190,0.4742,0.4950
172,1.0000,0.0372,0.8710,0.8326,0.4734,0.4557
173,1.0000,0.0332,0.8710,0.8190,0.4884,0.4804
174,1.0000,0.0331,0.8710,0.8235,0.4729,0.4747
175,1.0000,0.0338,0.8710,0.8235,0.4807,0.4650
176,1.0000,0.0330,0.8710,0.8190,0.4807,0.4832
177,1.0000,0.0324,0.8710,0.8281,0.4759,0.4704
178,1.0000,0.0324,0.8710,0.8281,0.4823,0.4745
179,1.0000,0.0326,0.8710,0.8235,0.4772,0.4778
180,1.0000,0.0328,0.8710,0.8281,0.4804,0.4712
181,1.0000,0.0327,0.8710,0.8190,0.4787,0.4780
182,1.0000,0.0327,0.8710,0.8281,0.4787,0.4720
183,1.0000,0.0327,0.8710,0.8235,0.4787,0.4756
184,1.0000,0.0327,0.8710,0.8281,0.4779,0.4734
185,1.0000,0.0327,0.8710,0.8281,0.4786,0.4741
186,1.0000,0.0327,0.8710,0.8281,0.4777,0.4742
187,1.0000,0.0327,0.8710,0.8281,0.4791,0.4738
188,1.0000,0.0327,0.8710,0.8235,0.4772,0.4749
189,1.0000,0.0327,0.8710,0.8281,0.4802,0.4735
190,1.0000,0.0326,0.8710,0.8235,0.4762,0.4762
191,1.0000,0.0327,0.8710,0.8281,0.4824,0.4728
192,1.0000,0.0328,0.8710,0.8235,0.4743,0.4783
193,1.0000,0.0333,0.8710,0.8281,0.4871,0.4711
194,1.0000,0.0340,0.8710,0.8190,0.4709,0.4823
195,1.0000,0.0359,0.8710,0.8235,0.4967,0.4672
196,1.0000,0.0388,0.8387,0.8190,0.4676,0.4905
197,1.0000,0.0446,0.8710,0.8326,0.5097,0.4602
198,1.0000,0.0501,0.8065,0.8190,0.4687,0.5096
199,1.0000,0.0542,0.8710,0.8281,0.5005,0.4557
200,1.0000,0.0453,0.7742,0.8054,0.4952,0.5364
